RazaoSocial,UF,Total_Despesas,Media_1º_Trimestre,Media_2º_Trimestre,Media_3º_Trimestre,Desvio_1º_Trimestre,Desvio_2º_Trimestre,Desvio_3º_Trimestre
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA,MT,189821405.6,1302272.7976595745,1536388.688,1561838.0602325583,4097705.24892968,4608932.936057667,4762329.664069937
INTEGRA ASSISTENCIA MEDICA SA,SP,189437641.14,39459667.809999995,23059799.78,13779635.393333333,55576524.57250631,38057042.07451792,21629964.775379743
AMPLA PLANOS DE SAUDE LTDA,RJ,188720797.95,,26580233.49666667,27245024.364999995,,25974074.818633147,34318638.05061028
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA,DF,187356525.9,13583025.67,16409304.5475,16846801.2575,15098343.055614775,18287167.907174427,18710304.471524887
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO,RJ,186751225.21,2794481.4220000003,3110328.4925,3432751.346,4631722.532425282,5343766.262372091,5954659.776941184
PROASA SAÚDE,DF,183272895.39000002,4790248.985454545,5020726.339090909,6850196.983636364,9969935.763281252,10609535.138429385,14154328.653465372
UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS,SP,182506517.55,7093834.11125,8995708.879999999,7848235.312500001,9126280.262539152,9673198.431166232,9367756.997758634
UNIMED SALTO/ITU - COOPERATIVA MÉDICA,SP,181477403.63,1070760.6085454545,1142284.13,1193163.6782692305,2867072.8177232957,2976903.5081103686,2999002.263028454
UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO,PI,180094233.57999998,1850497.8437931035,2044098.591724138,2315549.5500000003,3928155.6069940683,4377648.162888689,4577724.403145455
LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A,SP,172658788.88,1577592.8361764706,1619583.4311111113,1734732.255142857,3997863.821710786,4681061.682028147,4661305.746531695
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE,SP,172292659.40999997,15070608.215,15532236.349999998,12470320.287499994,23654205.56985662,23892457.114565108,18957258.74672621
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA,SP,171915999.45,7603534.286666666,8616831.928571427,9425281.461428573,12073964.282855865,14780834.758828273,16522990.568656394
PLENA SAÚDE S.A.,SP,170924208.91,2888272.73,2987250.1580000003,2963264.4147368423,5261503.248112221,5972995.568581558,5638983.814340183
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA,RS,170085394.52,1864453.1364516127,1776855.4909375,1787999.0832258067,5809779.965716101,5308215.990789942,5043071.552614125
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL,SP,169485789.38,5445971.112000001,5655302.8549999995,5847304.971000001,10008477.950203694,9969252.610509416,10431557.982467044
LIFE EMPRESARIAL SAÚDE LTDA.,SP,169299013.13,4052592.8674999997,3996873.4685714287,4977820.781538461,9247444.707703607,9997195.898749605,11819940.800635774
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO,SP,164818495.09,1571371.5371875,1712591.3903125,1866615.0440625001,4226224.748802146,4523825.925290149,4891962.361462947
SERMED-SAÚDE LTDA.,SP,163024582.89,1627138.2965625,1741933.08125,1725446.8375,5139456.977618207,5436883.782978735,5297986.267228071
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO,PR,161016242.29,1447682.315,1278274.7526829268,1557028.58375,2371869.5564420335,2448258.602706356,3047176.6556327203
UNIÃO MÉDICA PLANOS DE SAÚDE S/A,BA,160043224.46,3119018.87125,3362047.14,3521635.5174999996,3978950.5657080086,3936929.917652975,3601234.304509694
UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO,SP,159752033.93,2882102.968947368,2665091.9010526314,2860806.915789474,5064342.544515037,4730662.658722252,5100709.10455132
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,PR,159355256.19,6506304.82625,6180740.326250001,6428766.107777778,16308290.626448726,15607276.484450009,17457492.24021759
UNIMED JOAO PESSOA - COOPERATIVA DE TRABALHO MÉDICO,PB,159209182.76000002,4310617.041666667,4077956.756923077,4539028.368333334,8855173.267460594,8354236.220912081,8612687.018590422
UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO,SP,158642344.39,1318464.3871794872,1377681.7533333332,1337316.12275,3380595.0085176155,3748248.059569877,3705983.5380187114
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL,RS,156335182.16000003,3913840.1125000003,4264630.9383333335,4849460.795833334,10210407.526896955,11136844.25084759,12225357.28316943
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO,SP,154555415.07999998,864350.358909091,1005008.6503773584,1033667.0551923077,3308747.1658331337,3724516.3042495586,3813816.345736951
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,154281761.58,3040820.243125,2983481.3088235296,3050525.3022222226,3525165.409620792,3864211.2001232626,3984511.615376909
SÃO LUCAS SAÚDE S/A,SP,153991850.97,5109353.6850000005,5151808.682,4670929.754545455,9320307.837202333,9268222.568200862,8923323.144487139
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA,MS,153414004.26,1800256.920909091,1150298.83,1549909.3016279067,3072759.017474021,2047012.0373561704,3798322.786920197
SAUDE PAS - MEDICINA E ODONTO,RS,150872306.18,11916353.392499998,12331610.462500002,13470112.69,21129907.311069764,21287208.359155048,23685275.82502454
OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA,RJ,147202855.22,2562211.0306666666,3554446.981333333,3960927.5028571426,5476845.063936596,7621074.215876427,7711083.673208275
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO,SP,146523133.37,1639659.5175757576,1226222.3905555557,1557108.4912903225,3654155.907147641,3979242.6325428835,4631327.5654954575
LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,DF,145875901.1,2884056.0389473685,2645110.1423529414,2561775.7744444446,7728320.636532891,6942932.147476373,7146028.770756222
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,MG,145704417.5,7906946.443333332,8397935.603333334,7979187.536666666,13464654.720376391,14248576.116341403,13731455.175065253
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ,RJ,145501917.61,6607661.488571429,6644350.89142857,7533975.8500000015,13787962.646007761,13988416.652864259,15932322.974228673
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO,SP,143889001.1,2633469.6552941175,3117227.82,2344970.0876190476,4387477.7191870995,5020082.09879077,4524754.66940516
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA,MG,143882796.25,1873176.382173913,2147453.237727273,2328511.662173913,3547525.0709098615,3875326.753562246,4178960.013482829
BENEFICENCIA CAMILIANA DO SUL,SP,143611000.85,4706725.133571429,5181123.265333334,,10074338.376883093,11145741.128047215,
UNIMED NORDESTE PAULISTA - FED. INTRAFEDERATIVA DAS COOP. MÉDICAS,SP,139239907.16,3135675.8492857143,3365966.3642857145,3444065.440714286,5207714.8214525925,5548202.978901482,5820241.5999083
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA,SP,137343535.21,3207242.9814285715,2764080.1723529412,2673692.3847058825,5990866.848028217,5526907.548012892,4343764.836344546
UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO,MT,136397093.77,1679476.3126923079,1939741.5245833334,1924038.0437500002,4918344.926767791,5528893.38473355,5326500.51213627
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO,SP,135310322.21,1567128.971111111,1769058.4425925927,1739740.8476923073,2447465.1564822,2755178.2986426866,2820235.5901740077
CABERJ INTEGRAL SAÚDE S.A,RJ,132399973.75,3076779.006428571,2746109.983125,2836706.7456250004,6079996.008993114,6073425.95750795,6403662.627437121
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,130585433.45,985310.728372093,1041998.0479069768,1009561.7690697677,1764802.3348964388,2018418.186701939,1843859.580242869
SAÚDE BRB - CAIXA DE ASSISTÊNCIA ,DF,130336053.85,2838273.9092857144,3096786.52,3374657.702857143,6254440.998954437,7002322.153229489,7737288.005237228
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO,SP,126259873.57000001,1361924.1276666666,1320088.3909375002,1488252.4562068968,4199286.288840618,4111874.2510274276,4534368.508290688
UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA,RJ,126052663.14,927102.2745454545,1018527.7189999999,1112976.3575,2451781.7519500153,2474329.9508297574,2650262.2980368524
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR,MG,125273995.84,9517099.0125,8410232.586,9030887.372,12417692.250754235,12558939.139658188,13872318.177765062
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.,ES,123930429.32000001,2669692.252,2531216.15875,2711599.1875000005,2966237.1986024855,2852658.419196569,3237480.8462540032
SUL AMÉRICA SEGURADORA DE SAÚDE S.A.,SP,123715003.02,7277353.118823529,,,12170378.369568152,,
POLICLIN SAÚDE S/A.,SP,123365145.25999999,4459706.296666666,3719512.5309090912,4701461.194444444,9744214.284510033,9284169.616576832,10369462.33247857
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO,GO,123305046.68,1499225.375357143,1315435.9538709677,1308007.1483870968,3530738.873232058,3300593.073386825,3196955.7186178113
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.,MG,123146176.21,1650133.9841666666,1512624.880769231,1768588.5476,2957518.0056327414,2678730.8146260353,3133030.584357967
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.,MG,123106093.95,1327382.8032352943,1112633.2860606061,1375272.6733333333,2320591.825855914,2544885.775570956,2675338.635777663
UNIHOSP SAÚDE LTDA,SP,122230213.53999999,7856978.054,8066758.436,8522306.217999998,10748258.978649398,11969502.912259236,13172108.97775862
ASSOCIAÇÃO FCA SAÚDE,MG,121681026.32000001,7024398.198000001,8405058.52,8906748.546,10173180.569958227,12669636.233725432,14081386.653203951
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO,SP,121230413.03999999,1719732.219047619,2008408.8776190476,2044735.7147619047,3103488.8329259446,3561603.5880287574,3396332.278437298
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO ,PR,121201071.92,2066740.1366666667,2261753.425,2278325.674210526,3314283.626341791,3336313.814889689,3539893.3274256135
MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.,SP,120897872.58,4293157.826666666,4303241.0444444455,4836698.082222221,8145561.02971255,7716549.390444188,8551359.489943445
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO,TO,118370518.58,1135823.3125714285,1162411.2655882353,1056614.0435135134,1878372.1194262553,1853170.1067190235,1801246.4177382933
UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO,MT,117801204.63,1176843.8606666666,1322754.7245161291,1338402.9790322578,2798096.4220546046,3062724.1240673712,3025416.2815263737
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO,MG,116475374.45,1103846.206,1069355.4727777776,1035367.3742105262,2549978.717592526,2437362.380866912,2429093.418360654
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE,SC,115429337.8,4400515.89,4783867.3462499995,5244283.9887500005,9314674.867941089,10245408.484727511,10955159.481600426
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,PR,114231511.05,1716665.4555,2007652.5799999998,2087640.1460000002,2866949.780846837,3267143.3250419237,3533246.633731825
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE,MG,113864926.82000001,3506208.4390000002,4280013.276666667,4475858.104444444,8585021.459504634,9938207.109492468,10104954.583719617
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,113446629.86,1510076.0441666667,1847938.5068181818,1661370.8022727272,2812217.945002965,3188765.2045047763,2902438.3440698404
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO,SP,110254957.85000001,1399000.0340740741,1140269.3844827586,1359108.4406896553,2495550.546957769,2042781.1400426207,2405208.699339184
SELECT OPERADORA DE PLANO DE SAUDE LTDA,GO,109553924.00000001,2156306.25,6258057.076666667,9844624.006666668,2948849.2579246974,10316176.173598515,15170860.986508582
ASSOCIAÇÃO SÃO FRANCISCO VIDA,SP,109519179.72,3546393.7388888886,4918742.69125,4781461.8175,7031141.01335745,8760901.52174546,8693605.580511356
ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,SC,109422965.33,2194605.685625,2282746.841875,2222666.1700000004,4426052.252634499,4837068.29677688,4743013.657441354
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA,MG,107718699.99,744390.1631818182,878141.243,847657.0870212767,1978166.0941669443,2104479.5473248498,2243961.1945202732
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,MG,106367298.22,711001.6069565217,828704.468888889,713127.9058823528,1996220.8783534449,2460319.3050446305,1486792.95226926
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE,PA,105971430.64999999,7602764.602,5189232.798,8402288.729999999,6287605.277372911,5000884.664426596,8992543.54916644
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO,SP,104538913.77,3097006.8545454545,3130140.3963636365,3604029.4009999996,3733691.6635469142,3746860.5720162685,3907459.14165761
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA,BA,104474947.6,1314944.264074074,1312948.5046153846,1244099.6910714286,2171281.167604352,2085873.2213895016,1904401.7481981276
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO,SP,104259342.16,757768.3802325581,779766.0930232559,930374.6295121951,2664164.815083834,2727871.517116761,2892137.425723361
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.,GO,103355993.14999999,735535.8020833334,714489.1636956522,781861.6248888888,1989543.1657629632,1902263.441561829,2129436.6409127833
UNIMED ARAXÁ COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,101938917.84,993208.133125,1131373.438064516,1131731.6451612907,1492536.077752788,1611686.793502163,1669677.3647407661
HBC SAÚDE LTDA.,SP,100947019.47999999,5211921.598333334,5799715.661666666,5812865.986666665,6203642.470291017,6965541.103002873,6707135.413779764
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO,PR,98090086.83,978454.8766666667,1097090.8373333334,1194123.8469999998,945388.1566482013,1015244.480705033,1136917.3053810513
UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO,RJ,96526312.63,1532201.7594736842,1728281.5889473683,1728856.4505000003,2436452.8637211574,2730456.951881283,2840406.0149669335
UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO,MA,96182403.73,1100189.5354545454,984015.2824137931,1448059.692,1674295.1461417964,1627783.761616011,2596773.637166202
ASSOCIAÇÃO PADRE ALBINO SAÚDE,SP,96001961.65,4101547.751666667,5754599.658333334,6144179.531666667,4778338.880594073,6648168.408527551,7226072.974532218
UNIMED MISSÕES/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,94600277.0,1534285.8615,1585251.7155,1533786.9266666668,1931164.521233379,2145349.815778736,1984788.5187751516
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO,SP,94179533.71000001,1100744.07,1247976.1772,1363904.905,2395179.12749649,2759240.5462649087,3142437.469400177
CENTRO HOSPITALAR ATIBAIA LTDA.,SP,92964505.96000001,6467333.864999999,8734905.2225,8038887.4025,11157793.471196506,15128590.213107644,13249659.34141574
ASSOCIAÇÃO BENEFICENTE DE ASSISTÊNCIA A SAÚDE DOS JUÍZES DO TRABALHO DA 15ª REGIÃO (ABAS 15),SP,92860868.04,9775085.44,10095288.736666666,11083248.503333336,12503010.190292384,13375108.940441722,14791712.38651139
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA,AC,91344865.26,721596.93925,746592.1065,795543.986097561,1499897.2847948878,1524098.6268521138,1793084.2470015816
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC,SC,91156812.42999999,4260789.7514285715,4271393.735714286,4490218.2885714285,8095730.315324135,8241523.9542064,8631662.971321398
FUNDAÇÃO DE SAÚDE ITAIGUAPY,PR,90958852.52000001,3286528.81,3779039.821250001,4304287.93375,6055305.465021166,6964763.590939865,7800834.361663715
UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO,RO,90210260.23,1120830.8810714285,1064656.0710714285,1074689.835925926,1569373.6892541249,1536339.0121614153,1504500.726950236
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA,BA,89731316.18,4590734.463333334,4279070.062857144,4604774.137142858,9236052.653048782,9182521.766307035,9619782.220947668
UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO,SP,89174458.09,1175250.42,1455501.3785714286,1696433.516,2207063.5434289114,2648998.2673762385,2918010.4688074645
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO,SP,89134899.0,425317.401875,541809.2093103449,499830.3465573771,1123855.5244629616,1343773.4058261411,1253316.1867310253
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO,SP,86745535.1,539374.4994545456,489285.71,503287.10620689654,1530123.6931563152,1477446.275721614,1545426.425151789
UNIMED MEIO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO,SC,85590942.86,651224.246744186,591027.1525531915,648044.0017391305,1277955.8834103334,1192665.9819567874,1291778.4393913771
AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ,RJ,84613205.97,2692467.9681818183,2588542.6563636363,1560122.8882352943,5261038.6206110595,5045329.624489721,3261819.743587588
CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS,CE,84306393.24000001,9421805.860000001,8757085.426666668,9923239.793333335,16091801.245906709,14907036.496943627,16950442.338356026
UNIMED DE PARANAGUÁ COOPERATIVA DE TRABALHO MÉDICO,PR,84212826.2,1406615.392631579,1499626.782631579,1526011.835263158,2185138.534050237,2235353.939457382,2354223.3886034875
UNIMED DE ASSIS COOPERATIVA DE TRABALHO MÉDICO,SP,84150707.52,513334.96851851844,563348.0707843137,503633.9565454545,1376958.6060219805,1479898.732411199,1311593.316418465
UNIMED NORTE FLUMINENSE COOPERATIVA DE TRABALHO MEDICO,RJ,83937906.53999999,1825844.9649999999,1933205.537857143,2236514.25,2588176.6212004754,2510253.2835142976,3555028.202653835
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.,RS,83741172.77000001,1570776.959375,1706589.3225,1956457.01625,2346544.8721996406,2472252.654752143,2979652.056446694
OESTE SAÚDE ASSISTÊNCIA A SAÚDE SUPLEMENTAR S.A,SP,81748866.58,2967209.83375,3194926.7511111107,3657105.8937500003,3652696.1849920806,4330667.906033261,4354936.186024921
CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL,MS,80861530.74000001,3570299.077142857,3911622.371428571,4069725.8000000007,5322388.820072743,6322704.335894193,6191100.248702231
UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,80126666.17999999,615369.2169047619,646812.5246341464,711842.1938461538,1548174.4257907807,1668404.3413227578,1777054.2659273257
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO,GO,80110947.85000001,13043405.745000001,8366085.683333334,9641959.77,18266942.219568882,14371010.275317078,16553978.91291123
AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL,MG,79713597.17999999,4037619.758333333,4272879.796666667,4975099.975,8856146.342590831,9207586.042597946,10727527.411277408
UNIMED DE BRUSQUE COOPERATIVA DE TRABALHO MÉDICO,SC,78968988.5,1058582.3645945946,468103.0302439024,502663.8236585366,3692475.365250706,771163.441673384,863090.5552105166
UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.,RS,78932793.13,605864.5420930232,631301.4916666667,488258.4290740741,1358878.5183079205,1319511.5048623215,1111503.3850300256
SAÚDE SANTA TEREZA LTDA.,SP,78929388.13,3457262.5785714285,3284137.335,3161716.822222222,5365059.632076506,5721554.752643699,6014087.058070973
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA,SP,78791201.91000001,1398037.6182352942,1246766.5386363638,1199812.980434783,2381363.4391108495,2517447.66199131,2547371.0245467564
UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO,SP,78784231.65,500068.95804347825,546156.2748979592,592232.696122449,922141.5361863468,1132258.4416297874,1186165.8735276647
UNIMED DE PARANAVAÍ COOPERATIVA DE TRABALHO MÉDICO,PR,78578663.59,1208642.1736842105,1309258.143,1471464.9715,1634046.3136226612,1795166.9371269743,2001052.9557746097
UNIMED REGIONAL DE TRES LAGOAS COOPERATIVA DE TRABALHO MÉDICO,MS,77804071.07000001,987318.8745833333,1018233.630769231,1062859.3723076922,3978752.377108296,4270834.801265544,4337365.115261619
ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,RJ,75949391.55,1561810.1335714287,1890366.6169230773,1967285.5773333337,3351822.9735167497,3113438.673557819,4852326.857818197
UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS,MG,75777930.5,1022371.85875,1170189.9722727274,1158946.6590909092,3412842.7808604366,3815098.3454205585,3783066.950344573
SANTA CASA DE MAUÁ SAÚDE,SP,75450119.67999999,5832223.2475000005,6355998.587499999,6674308.085000001,8633004.483836634,9612296.361361576,10016052.75268155
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.,RJ,75444049.47,2432624.223,2530195.354,2581585.37,4872461.023930051,5009407.23120701,4948063.017509586
METLIFE PLANOS ODONTOLÓGICOS LTDA.,SP,75195242.32000001,4830865.616,4920526.709999999,5287656.138,7185505.210247157,7593537.576664676,9674194.505268726
FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,ES,74776610.22,9744714.253333334,7050367.670000001,4878272.89,16062966.363737928,11451719.45593205,10215200.745068721
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO,SP,74608888.04,982531.7812000001,1091317.0545833332,993916.0083333333,2904310.7465717923,3267404.830835327,2570156.3666931563
UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO,SP,74086796.82,1176060.6395,1296615.7,1296487.8963157893,2447076.0569085884,2836581.507306568,2747507.676195992
AMHE MED ASSISTENCIA A SAUDE LTDA - EPP,SP,73837311.18,2716087.532,3922876.106000001,13547497.663333334,3547757.877755179,5232462.55634261,13056765.211798003
ASSISTÊNCIA MÉDICA SÃO MIGUEL LTDA,SP,73551242.94,11195721.72,4735990.814,5495969.086000001,15231049.92986722,6202593.729094415,7010685.603989566
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO,ES,73527279.65,737593.48,709741.8240625,873441.98125,1474681.9389121786,1526759.4892110436,2012231.9996226034
NOVA SAÚDE OPERADORA INTEGRADA DE SAÚDE LTDA,RJ,73374841.5,10115864.635,8848536.025000002,17723020.09,14202265.629737472,12220345.405965392,24766458.78096858
UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA,PB,73360435.42999999,2164003.581428571,2457738.39375,4818812.90125,2263107.121505002,2539184.1363828764,7599235.656434066
OPERADORA UNICENTRAL DE PLANOS DE SAÚDE LTDA.,SP,73218753.25,2535386.5009090905,1510454.5553333336,1511512.2273333333,3752314.4649407235,2670159.6395720663,3563759.794430153
UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA,CE,73204206.88,1746983.5215384616,1917883.1230769232,1966226.192307692,4138593.0350944423,4625778.500491045,4635997.668563203
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO,RJ,73095390.17999999,1308467.8375000001,2431173.435,2565426.81,2295186.8490026793,3775395.709577469,3692354.4981377507
UNIMED ALTO VALE - COOPERATIVA DE TRABALHO MÉDICO,SC,71277751.86,367321.1001785714,505851.498,408677.4617857143,746591.4460248091,1485979.030117075,865782.3131751595
UNIMED SAÚDE E ODONTO S.A,SP,71162872.5,2922344.66,3441852.814285714,3801927.1685714284,5169083.453273508,5809659.020367387,6290895.466252376
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL,RS,71028694.55,2128518.6954545453,2218785.840909091,2109849.5136363637,3955011.9796862165,4217001.980819873,3993136.151909569
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO,RJ,70769024.69,1020607.0618181818,1114953.237142857,1310613.2289473685,2501325.2678574063,2656328.472927271,2838484.3581164037
UNIMED PARÁ DE MINAS COOPERATIVA DE TRABALHO MÉDICO LTDA.,MG,70310026.95,644399.1727272727,732965.9199999999,753241.7845454544,1221778.3632278368,1364818.2169923407,1378998.3564810916
SAMI ASSISTÊNCIA MÉDICA LTDA,SP,70151779.38,5940301.4575000005,4796291.97,4481822.74,10311562.140273875,9338571.655801447,8651167.823215952
TEMPO MED PLANO DE SAUDE LTDA,SC,70030692.74,1146972.183888889,1115899.941,1288914.029047619,2008111.7883620458,2126072.3521398036,2416206.4871177757
PARANA ASSISTENCIA MEDICA LTDA,PR,69883555.96,911655.1152173913,1025570.6808695652,904548.6660714286,2925158.9456340587,2775638.7214392344,2459024.043535687
VIVACOM PLANOS DE SAÚDE,GO,69814940.05,2824789.6599999997,2784706.02125,3117371.825,4982619.186086473,4819673.633959879,5429934.759523881
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES,ES,69232840.94,4467898.04,4518206.536,4860463.612,6263039.399670664,6366124.333077633,7223122.500100575
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,SC,69140178.04,338204.91366666666,362048.62399999995,383556.40393939393,1016868.2031571475,1118622.291061918,1149524.460891904
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS,MG,68898532.48,3445830.7433333336,3739106.8016666663,4298151.201666666,5274207.631962191,5618763.251187686,6885599.510484252
UNIMED DE BARRA MANSA SOC. COOP. SERV.MED.E HOSPIT.,RJ,68543743.2,1266133.6525,1384520.5906250002,1742218.3539999996,2876592.3188082287,3043421.1211271244,3952135.494605994
UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO,BA,68004094.74000001,847458.3692857142,844121.1896296297,767285.2957142858,1311977.7809574225,1248272.3594073828,1137442.7606999483
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO,AL,67742195.33,919648.6760000001,712700.2368750001,756709.3396551724,1720677.652963412,1279344.3859106835,1613256.2790730903
